node2vec_time,node2vec_memory,precomp_time,precomp_memory,SparseOTF_time,SparseOTF_memoryDenseOTF_time,DenseOTF_memory,
17.09607029,0.099295616,0.003255129,0.007000923,0.002796173,0.007000923,1.51747489,0.181740761
20.66976881,0.100375175,0.003055811,0.007000923,0.003161907,0.007000923,1.325642109,0.148067474
15.89171815,0.099543571,0.002919912,0.007000923,0.002791882,0.007000923,1.1942451,0.14464283
20.22386599,0.100394249,0.002959967,0.007000923,0.003553867,0.007000923,7.086151838,0.146699905
21.62739015,0.100710869,0.003479004,0.007000923,0.00366497,0.007000923,1.238628149,0.176530838
19.85433912,0.099137306,0.00357604,0.007000923,0.005722046,0.007000923,1.94797802,0.146894455
20.12865281,0.100345612,0.003877878,0.007000923,0.002745152,0.007000923,1.210744858,0.17814064
16.0568881,0.099694252,0.003880978,0.007000923,0.003109217,0.007000923,1.210739851,0.181136131
16.61053395,0.100769997,0.002883911,0.007000923,0.002929926,0.007000923,1.297508717,0.207147598
16.67193198,0.099948883,0.004288912,0.007000923,0.004838943,0.007000923,1.275175333,0.14428997
16.3620739,0.099411011,0.003182173,0.007000923,0.002969265,0.007000923,1.232540131,0.145457268
17.95501304,0.098745346,0.004147053,0.007000923,0.002913952,0.007000923,1.191347837,0.144835472
15.61666894,0.099492073,0.002932072,0.007000923,0.003186941,0.007000923,1.206109285,0.145033836
15.78258777,0.099147797,0.002915144,0.007000923,0.002852201,0.007000923,1.237798929,0.14423275
21.49480796,0.101172447,0.002958059,0.007000923,0.003270149,0.007000923,1.333991051,0.180422783
16.19104886,0.099567413,0.002971888,0.007000923,0.003123999,0.007000923,1.225708008,0.144438744
15.781703,0.099956512,0.002848148,0.007000923,0.002731085,0.007000923,1.228018284,0.148323059
16.02673292,0.099241257,0.003679991,0.007000923,0.003118753,0.007000923,1.206087112,0.177499771
17.85260487,0.099493027,0.004336119,0.007000923,0.002969027,0.007000923,1.210875034,0.175301552
15.61037421,0.099303246,0.002864122,0.007000923,0.004488945,0.007000923,1.207762957,0.17652607
15.72409892,0.098945618,0.002962112,0.007000923,0.00305295,0.007000923,1.223784924,0.146924019
18.93245912,0.100252151,0.002718925,0.007000923,0.003763199,0.007000923,1.246621132,0.145317078
17.43503904,0.10276413,0.003068209,0.007000923,0.002971172,0.007000923,1.223711014,0.145685196
16.17860699,0.098550797,0.003353119,0.007000923,0.003237247,0.007000923,1.195527077,0.144006729
17.69638968,0.099806786,0.003234148,0.007000923,0.00335598,0.007000923,1.47944212,0.178163528
17.52400613,0.099534988,0.002898216,0.007000923,0.003521681,0.007000923,1.211023092,0.144747734
17.22995305,0.100786209,0.003966808,0.007000923,0.002747059,0.007000923,1.207402945,0.145171165
19.73122978,0.100898743,0.003366947,0.007000923,0.003644943,0.007000923,1.197638988,0.14390564
17.13916183,0.09941864,0.003350973,0.007000923,0.003474236,0.007000923,1.345046997,0.146966934
17.69506097,0.102935791,0.003047228,0.007000923,0.003509045,0.007000923,1.235270023,0.17561245
16.86547995,0.101784706,0.022670031,0.007000923,0.003113985,0.007000923,1.287847042,0.146101952
19.03822613,0.100439072,0.003167391,0.007000923,0.003142118,0.007000923,1.604990005,0.177200317
23.89016724,0.100503922,0.003208876,0.007000923,0.0035007,0.007000923,1.280434132,0.17964077
16.69668007,0.099649429,0.002960205,0.007000923,0.004094124,0.007000923,1.218834877,0.145306587
15.54195714,0.099906921,0.002989054,0.007000923,0.003559113,0.007000923,1.583941936,0.148160934
18.16357303,0.099287987,0.00286603,0.007000923,0.003571987,0.007000923,1.191770077,0.177722931
16.78596401,0.100230217,0.004487038,0.007000923,0.00295496,0.007000923,1.282284021,0.14604187
16.17342901,0.099586487,0.002993822,0.007000923,0.002830029,0.007000923,1.207631111,0.11525631
17.85876107,0.100087166,0.003780842,0.007000923,0.002743959,0.007000923,1.3746562,0.145809174
21.43775415,0.099229813,0.002999067,0.007000923,0.002866745,0.007000923,1.246281862,0.145119667
16.3608892,0.100336075,0.003009081,0.007000923,0.004168034,0.007000923,1.53438592,0.179607391
21.68907285,0.10018158,0.003232002,0.007000923,0.003233194,0.007000923,1.281415224,0.146803856
23.66047907,0.099843025,0.004938841,0.007000923,0.004162073,0.007000923,1.291362762,0.177271843
18.99480033,0.099975586,0.002825975,0.007000923,0.003094196,0.007000923,1.177465916,0.149232864
15.792449,0.099577904,0.002829075,0.007000923,0.003920317,0.007000923,1.329166651,0.174653053
16.04086089,0.099479675,0.003062963,0.007000923,0.002737284,0.007000923,1.358032942,0.179823875
18.04178572,0.09967804,0.003226995,0.007000923,0.003013134,0.007000923,1.223874092,0.145630836
16.87616587,0.099268913,0.003150702,0.007000923,0.003317118,0.007000923,1.607808113,0.211035728
20.70820475,0.10004425,0.003178835,0.007000923,0.003422976,0.007000923,2.05156517,0.177213669
27.67212987,0.099920273,0.003720999,0.007000923,0.002810001,0.007000923,1.331596136,0.177270889
15.36675811,0.099611282,0.00303483,0.007000923,0.003890991,0.007000923,1.209443092,0.145804405
15.89533806,0.099694252,0.002943993,0.007000923,0.003548861,0.007000923,1.207568884,0.145756721
15.58168793,0.100387573,0.002776146,0.007000923,0.00376296,0.007000923,1.210492134,0.180066109
15.94254923,0.098989487,0.003113985,0.007000923,0.004158974,0.007000923,1.217007875,0.17423439
17.18361402,0.099681854,0.002965927,0.007000923,0.002665043,0.007000923,1.195141077,0.145785332
15.80163407,0.101153374,0.004669905,0.007000923,0.003517866,0.007000923,1.204910994,0.145142555
17.57326484,0.099487305,0.003163815,0.007000923,0.002858162,0.007000923,1.187153816,0.144472122
15.79455209,0.099738121,0.002971888,0.007000923,0.004024267,0.007000923,1.203102827,0.144820213
15.32913589,0.099346161,0.002942085,0.007000923,0.003084898,0.007000923,1.163990021,0.177630424
15.95901799,0.102314949,0.002892971,0.007000923,0.004060984,0.007000923,1.177030087,0.174339294
17.51281309,0.099701881,0.002944946,0.007000923,0.003315926,0.007000923,1.193335056,0.147053719
15.54053831,0.100156784,0.003644943,0.007000923,0.003844023,0.007000923,1.182171106,0.176112175
15.63360286,0.0987854,0.002823114,0.007000923,0.002791882,0.007000923,1.214289904,0.145472527
16.65215468,0.099479675,0.003160954,0.007000923,0.00320816,0.007000923,1.227242947,0.144900322
15.54765105,0.098859787,0.003473043,0.007000923,0.002989054,0.007000923,1.169016123,0.144376755
15.27136683,0.099179268,0.00315094,0.007000923,0.003320932,0.007000923,1.196732998,0.147583008
15.36935711,0.100392342,0.002764702,0.007000923,0.003727198,0.007000923,1.153835058,0.149504662
15.26527429,0.099967957,0.002756119,0.007000923,0.003142834,0.007000923,1.215251207,0.177447319
17.37731099,0.098898888,0.003371,0.007000923,0.003390312,0.007000923,1.201014996,0.144699097
16.10040808,0.100206375,0.003547907,0.007000923,0.004043818,0.007000923,1.180588961,0.147927284
15.29847693,0.100598335,0.002772808,0.007000923,0.003933907,0.007000923,1.173125267,0.174799919
17.572896,0.098653793,0.002790928,0.007000923,0.002788782,0.007000923,1.259185076,0.178125381
18.89461803,0.100518227,0.004192114,0.007000923,0.004043818,0.007000923,1.741167784,0.177463531
28.58051109,0.10057354,0.003573895,0.007000923,0.00287199,0.007000923,1.659491777,0.176851273
19.00711012,0.100364685,0.003237247,0.007000923,0.003323078,0.007000923,1.247333288,0.18193531
17.06178689,0.100387573,0.002965212,0.007000923,0.00323391,0.007000923,1.271538973,0.143927574
21.22284698,0.099411964,0.002930164,0.007000923,0.002812147,0.007000923,1.522189617,0.177109718
24.69288111,0.099775314,0.003237963,0.007000923,0.003252983,0.007000923,1.400353909,0.146016121
17.99897861,0.100288391,0.004043102,0.007000923,0.004217863,0.007000923,1.768280983,0.177879333
17.42772388,0.09967804,0.002989054,0.007000923,0.003201008,0.007000923,1.224884033,0.174186707
18.80771923,0.100670815,0.002931118,0.007000923,0.003048182,0.007000923,1.206861734,0.145049095
22.26360273,0.09903717,0.002862692,0.007000923,0.002730846,0.007000923,1.255790949,0.142940521
17.2565248,0.100604057,0.003453016,0.007000923,0.003455877,0.007000923,1.420702219,0.183644295
21.46127415,0.099898338,0.002850771,0.007000923,0.002760172,0.007000923,1.324323177,0.146681786
19.18561983,0.101758003,0.003017902,0.007000923,0.002993107,0.007000923,1.325673103,0.176028252
17.58877635,0.098815918,0.002849102,0.007000923,0.002842903,0.007000923,1.204319,0.145384789
15.9751277,0.100013733,0.002808809,0.007000923,0.003067017,0.007000923,1.199727297,0.147966385
15.77323771,0.099414825,0.002840757,0.007000923,0.003953218,0.007000923,1.220506191,0.17787075
16.43458104,0.099676132,0.003931046,0.007000923,0.002996922,0.007000923,1.2282722,0.145441055
15.7982738,0.099229813,0.003123999,0.007000923,0.00347805,0.007000923,1.210062027,0.144753456
15.57449484,0.099889755,0.002868891,0.007000923,0.002996922,0.007000923,1.203691006,0.145445824
18.35759401,0.104068756,0.003127813,0.007000923,0.002947807,0.007000923,1.206162214,0.145508766
15.88264108,0.099569321,0.004076958,0.007000923,0.002806187,0.007000923,1.216354847,0.147511482
15.88386083,0.099569321,0.003336906,0.007000923,0.002789021,0.007000923,1.383178949,0.177768707
20.76272702,0.09967804,0.003391981,0.007000923,0.003589869,0.007000923,1.231888056,0.147109985
15.7379148,0.098245621,0.00427413,0.007000923,0.003912926,0.007000923,1.177366018,0.145479202
15.24678874,0.098960876,0.002867937,0.007000923,0.003353834,0.007000923,1.197962999,0.147567749
17.49760103,0.099510193,0.002982855,0.007000923,0.002978086,0.007000923,1.266464949,0.177072525
20.46194005,0.100242615,0.002708912,0.007000923,0.00308919,0.007000923,1.222331047,0.14659214
15.33260083,0.099644661,0.003171682,0.007000923,0.003927708,0.007000923,1.560098886,0.146067619